original_index,display_index,text_path,audio_path,status
123,122,./35322 - Text/Chapter_0123_display_122.txt,./35322 - Audio/Chapter_0123_display_122.mp3,queued
124,123,./35322 - Text/Chapter_0124_display_123.txt,./35322 - Audio/Chapter_0124_display_123.mp3,queued
125,124,./35322 - Text/Chapter_0125_display_124.txt,./35322 - Audio/Chapter_0125_display_124.mp3,queued
126,125,./35322 - Text/Chapter_0126_display_125.txt,./35322 - Audio/Chapter_0126_display_125.mp3,queued
127,126,./35322 - Text/Chapter_0127_display_126.txt,./35322 - Audio/Chapter_0127_display_126.mp3,queued
128,127,./35322 - Text/Chapter_0128_display_127.txt,./35322 - Audio/Chapter_0128_display_127.mp3,queued
129,128,./35322 - Text/Chapter_0129_display_128.txt,./35322 - Audio/Chapter_0129_display_128.mp3,queued
130,129,./35322 - Text/Chapter_0130_display_129.txt,./35322 - Audio/Chapter_0130_display_129.mp3,queued
131,130,./35322 - Text/Chapter_0131_display_130.txt,./35322 - Audio/Chapter_0131_display_130.mp3,queued
132,131,./35322 - Text/Chapter_0132_display_131.txt,./35322 - Audio/Chapter_0132_display_131.mp3,queued
133,132,./35322 - Text/Chapter_0133_display_132.txt,./35322 - Audio/Chapter_0133_display_132.mp3,queued
134,133,./35322 - Text/Chapter_0134_display_133.txt,./35322 - Audio/Chapter_0134_display_133.mp3,queued
135,134,./35322 - Text/Chapter_0135_display_134.txt,./35322 - Audio/Chapter_0135_display_134.mp3,queued
136,135,./35322 - Text/Chapter_0136_display_135.txt,./35322 - Audio/Chapter_0136_display_135.mp3,queued
137,136,./35322 - Text/Chapter_0137_display_136.txt,./35322 - Audio/Chapter_0137_display_136.mp3,queued
138,137,./35322 - Text/Chapter_0138_display_137.txt,./35322 - Audio/Chapter_0138_display_137.mp3,queued
139,138,./35322 - Text/Chapter_0139_display_138.txt,./35322 - Audio/Chapter_0139_display_138.mp3,queued
140,139,./35322 - Text/Chapter_0140_display_139.txt,./35322 - Audio/Chapter_0140_display_139.mp3,queued
141,140,./35322 - Text/Chapter_0141_display_140.txt,./35322 - Audio/Chapter_0141_display_140.mp3,queued
142,141,./35322 - Text/Chapter_0142_display_141.txt,./35322 - Audio/Chapter_0142_display_141.mp3,queued
143,142,./35322 - Text/Chapter_0143_display_142.txt,./35322 - Audio/Chapter_0143_display_142.mp3,queued
144,143,./35322 - Text/Chapter_0144_display_143.txt,./35322 - Audio/Chapter_0144_display_143.mp3,queued
145,144,./35322 - Text/Chapter_0145_display_144.txt,./35322 - Audio/Chapter_0145_display_144.mp3,queued
146,145,./35322 - Text/Chapter_0146_display_145.txt,./35322 - Audio/Chapter_0146_display_145.mp3,queued
147,146,./35322 - Text/Chapter_0147_display_146.txt,./35322 - Audio/Chapter_0147_display_146.mp3,queued
148,147,./35322 - Text/Chapter_0148_display_147.txt,./35322 - Audio/Chapter_0148_display_147.mp3,queued
149,148,./35322 - Text/Chapter_0149_display_148.txt,./35322 - Audio/Chapter_0149_display_148.mp3,queued
150,149,./35322 - Text/Chapter_0150_display_149.txt,./35322 - Audio/Chapter_0150_display_149.mp3,queued
151,150,./35322 - Text/Chapter_0151_display_150.txt,./35322 - Audio/Chapter_0151_display_150.mp3,queued
152,151,./35322 - Text/Chapter_0152_display_151.txt,./35322 - Audio/Chapter_0152_display_151.mp3,queued
153,152,./35322 - Text/Chapter_0153_display_152.txt,./35322 - Audio/Chapter_0153_display_152.mp3,queued
154,153,./35322 - Text/Chapter_0154_display_153.txt,./35322 - Audio/Chapter_0154_display_153.mp3,queued
155,154,./35322 - Text/Chapter_0155_display_154.txt,./35322 - Audio/Chapter_0155_display_154.mp3,queued
156,155,./35322 - Text/Chapter_0156_display_155.txt,./35322 - Audio/Chapter_0156_display_155.mp3,queued
157,156,./35322 - Text/Chapter_0157_display_156.txt,./35322 - Audio/Chapter_0157_display_156.mp3,queued
158,157,./35322 - Text/Chapter_0158_display_157.txt,./35322 - Audio/Chapter_0158_display_157.mp3,queued
159,158,./35322 - Text/Chapter_0159_display_158.txt,./35322 - Audio/Chapter_0159_display_158.mp3,queued
160,159,./35322 - Text/Chapter_0160_display_159.txt,./35322 - Audio/Chapter_0160_display_159.mp3,queued
161,160,./35322 - Text/Chapter_0161_display_160.txt,./35322 - Audio/Chapter_0161_display_160.mp3,queued
162,161,./35322 - Text/Chapter_0162_display_161.txt,./35322 - Audio/Chapter_0162_display_161.mp3,queued
163,162,./35322 - Text/Chapter_0163_display_162.txt,./35322 - Audio/Chapter_0163_display_162.mp3,queued
164,163,./35322 - Text/Chapter_0164_display_163.txt,./35322 - Audio/Chapter_0164_display_163.mp3,queued
165,164,./35322 - Text/Chapter_0165_display_164.txt,./35322 - Audio/Chapter_0165_display_164.mp3,queued
166,165,./35322 - Text/Chapter_0166_display_165.txt,./35322 - Audio/Chapter_0166_display_165.mp3,queued
167,166,./35322 - Text/Chapter_0167_display_166.txt,./35322 - Audio/Chapter_0167_display_166.mp3,queued
168,167,./35322 - Text/Chapter_0168_display_167.txt,./35322 - Audio/Chapter_0168_display_167.mp3,queued
169,168,./35322 - Text/Chapter_0169_display_168.txt,./35322 - Audio/Chapter_0169_display_168.mp3,queued
170,169,./35322 - Text/Chapter_0170_display_169.txt,./35322 - Audio/Chapter_0170_display_169.mp3,queued
171,170,./35322 - Text/Chapter_0171_display_170.txt,./35322 - Audio/Chapter_0171_display_170.mp3,queued
